-5.2581,-4.5846,6.6797
-7.4378,-5.826,10.207
-7.9531,-6.5659,11.74
-7.9697,-7.1483,12.695
-7.8734,-7.6312,13.503
-7.7336,-8.0523,14.327
-7.3895,-7.7862,14.925
-6.8721,-7.1683,15.555
-6.1835,-6.4213,16.266
-5.3669,-5.6806,17.02
-4.4801,-4.9942,17.745
-3.5589,-4.3358,18.375
-2.6135,-3.6469,18.877
-1.6447,-2.8767,19.246
-0.65514,-1.9983,19.488
0.34866,-1.0074,19.618
1.3463,0.078003,19.643
2.2787,0.89334,19.619
3.2022,1.7581,19.586
4.1531,2.7407,19.537
5.1627,3.8305,19.457
6.253,4.9893,19.334
7.4312,6.1748,19.156
8.6875,7.3505,18.904
9.9961,8.4879,18.56
11.318,9.5645,18.113
12.607,10.562,17.562
13.815,11.466,16.924
14.902,12.262,16.227
15.847,12.94,15.508
16.643,13.491,14.802
17.302,13.916,14.14
17.843,14.217,13.545
18.29,14.407,13.03
18.662,14.499,12.598
18.976,14.51,12.241
19.245,14.457,11.946
19.478,14.355,11.696
19.68,14.215,11.476
19.857,14.048,11.272
20.012,13.864,11.076
20.149,13.671,10.884
20.27,13.475,10.693
20.375,13.283,10.504
20.467,13.1,10.318
20.546,12.927,10.137
20.613,12.768,9.9608
20.682,12.609,9.7135
20.604,12.534,9.2115
20.447,12.539,8.5091
20.235,12.597,7.6482
19.969,12.678,6.6658
19.64,12.755,5.5976
19.238,12.81,4.4778
18.754,12.834,3.3356
18.187,12.83,2.1909
17.539,12.813,1.0542
16.82,12.803,-0.070818
16.038,12.822,-1.1822
15.207,12.885,-2.2761
14.332,13.017,-3.2679
13.707,13.094,-3.9288
13.227,13.122,-4.4464
12.826,13.106,-4.9215
12.46,13.052,-5.4032
12.102,12.972,-5.9107
11.735,12.876,-6.4479
11.351,12.777,-7.0112
10.947,12.686,-7.5951
10.526,12.609,-8.1946
10.092,12.547,-8.8056
9.653,12.5,-9.4246
9.2138,12.463,-10.048
8.7793,12.432,-10.674
8.3523,12.402,-11.296
7.9346,12.372,-11.913
7.5267,12.337,-12.521
7.1288,12.296,-13.118
6.7411,12.248,-13.703
6.3639,12.193,-14.275
5.9978,12.13,-14.834
5.6441,12.06,-15.381
5.3041,11.982,-15.917
4.9793,11.896,-16.441
4.6714,11.803,-16.953
4.3815,11.704,-17.455
4.1108,11.598,-17.944
3.8599,11.486,-18.419
3.6291,11.369,-18.88
3.4185,11.247,-19.325
3.2276,11.122,-19.753
3.056,10.994,-20.163
2.9029,10.865,-20.554
2.7673,10.737,-20.926
2.6484,10.611,-21.279
2.5452,10.489,-21.614
2.4567,10.372,-21.93
2.382,10.262,-22.229
2.3199,10.16,-22.512
2.2695,10.067,-22.78
2.2297,9.9853,-23.033
2.1993,9.9143,-23.272
2.1772,9.8547,-23.498
2.162,9.8067,-23.713
2.1525,9.7702,-23.916
2.1473,9.7448,-24.108
2.1451,9.7302,-24.29
2.1445,9.7255,-24.461
2.1444,9.73,-24.623
2.1435,9.7427,-24.775
2.1407,9.7626,-24.918
2.135,9.7887,-25.052
2.1255,9.8197,-25.178
2.1114,9.8546,-25.295
2.0921,9.8921,-25.404
2.0669,9.9311,-25.506
2.0353,9.9704,-25.6
1.9971,10.009,-25.687
1.9519,10.046,-25.768
1.8996,10.08,-25.843
1.8401,10.11,-25.912
1.7733,10.137,-25.976
1.6993,10.158,-26.036
1.6182,10.175,-26.091
1.5302,10.185,-26.143
1.4355,10.191,-26.192
1.3343,10.19,-26.239
1.2269,10.183,-26.285
1.1136,10.171,-26.329
0.99475,10.154,-26.373
0.87061,10.131,-26.418
0.74155,10.104,-26.462
0.62145,10.08,-26.504
0.49943,10.368,-26.627
0.36038,10.775,-26.754
0.19311,11.174,-26.83
-0.0038881,11.493,-26.828
-0.22244,11.703,-26.738
-0.44909,11.801,-26.568
-0.67034,11.802,-26.33
-0.87647,11.725,-26.041
-1.0632,11.592,-25.722
-1.2313,11.419,-25.391
-1.3854,11.223,-25.064
-1.5454,11.004,-24.759
-1.6336,10.792,-24.522
-1.6856,10.598,-24.373
-1.7251,10.428,-24.313
-1.7665,10.283,-24.337
-1.8174,10.162,-24.43
-1.8811,10.063,-24.578
-1.9584,9.9804,-24.768
-2.0483,9.9108,-24.987
-2.1495,9.8495,-25.227
-2.2602,9.7928,-25.48
-2.379,9.7373,-25.741
-2.5047,9.6805,-26.004
-2.6365,9.6204,-26.266
-2.7736,9.5562,-26.524
-2.9154,9.4872,-26.776
-3.0614,9.4134,-27.018
-3.2244,9.3263,-27.255
-3.3983,8.9174,-27.43
-3.5959,8.2533,-27.58
-3.8378,7.3749,-27.695
